ParcelID,PropertyAddress,SitusCity,SitusState,SitusZip,Bedrooms,Bathrooms,LivingSqFt,LotSizeAcres,YearBuilt,PropertyType,HasPool,Basement,TotalAssessedValue,LastSalePrice,SaleDate,LandValue,ImprovementValue,AssessmentYear,AssessmentDate
AB-12345,123 Main St,Anytown,CA,90210,3,2,1800,0.25,2005,R,Y,FULL,500000,450000,2020-01-15,200000,300000,2022,2022-01-01
CD-67890,456 Oak Ave,Sometown,CA,90211,4,3,2400,0.5,2010,R,N,NO,750000,700000,2019-06-30,300000,450000,2022,2022-01-01
EF-13579,789 Pine Rd,Anytown,CA,90210,2,1,1200,0.15,1995,R,N,NONE,350000,320000,2021-03-20,150000,200000,2022,2022-01-01
GH-24680,101 Cedar Ln,Othertown,CA,90212,5,4,3200,1.2,2015,R,Y,PARTIAL,1200000,1100000,2018-09-10,500000,700000,2022,2022-01-01
IJ-97531,202 Maple Dr,Sometown,CA,90211,3,2.5,2100,0.35,2008,R,Y,FULL,650000,600000,2019-11-05,250000,400000,2022,2022-01-01
KL-86420,303 Elm St,Anytown,CA,90210,4,3,2500,0.6,2012,R,N,PARTIAL,800000,750000,2020-07-22,320000,480000,2022,2022-01-01
MN-75309,404 Birch Ave,Othertown,CA,90212,3,2,1950,0.3,2003,R,N,NONE,580000,540000,2021-02-10,220000,360000,2022,2022-01-01
OP-64208,505 Willow Rd,Sometown,CA,90211,6,5,4000,2.5,2018,R,Y,FULL,1500000,1400000,2019-08-15,600000,900000,2022,2022-01-01
QR-53107,606 Spruce Dr,Anytown,CA,90210,2,1.5,1500,0.2,1998,R,N,NONE,420000,390000,2020-05-03,180000,240000,2022,2022-01-01
ST-42006,707 Redwood Ln,Othertown,CA,90212,4,3.5,2800,0.75,2014,R,Y,FULL,950000,900000,2019-10-18,380000,570000,2022,2022-01-01